cve_ent,categoria,sexo,edad,personas,año
30,Ninguna,FEMENINO,20,523,2024
30,Ninguna,FEMENINO,27,1108,2024
30,Ninguna,MASCULINO,20,525,2024
30,Ninguna,MASCULINO,23,569,2024
30,Solo trabaja,MASCULINO,20,523,2024
31,Ninguna,FEMENINO,27,363,2024
31,Ninguna,MASCULINO,19,77,2024
31,Solo trabaja,FEMENINO,22,70,2024
31,Solo trabaja,MASCULINO,20,69,2024
32,Ninguna,FEMENINO,28,262,2024
32,Ninguna,FEMENINO,29,161,2024
32,Solo trabaja,FEMENINO,23,202,2024
32,Solo trabaja,MASCULINO,22,187,2024
