clave,monto_exp,pct,programa,decil,cve_ent,año
P108,7116847.319999999,100.0,JCF,7,27,2024
P108,28266600.240000002,100.0,JCF,10,27,2024
P108,2115974.32,100.0,JCF,3,28,2020
P108,1674096.4000000001,100.0,JCF,4,28,2020
P108,1295802.48,100.0,JCF,6,28,2020
P108,840687.54,100.0,JCF,7,28,2020
P108,4357974.4799999995,81.82,JCF,8,28,2020
P102,968436.96,18.18,BJ media superior,8,28,2020
P108,3736856.7,100.0,JCF,9,28,2020
P108,1841864.79,100.0,JCF,10,28,2020
P108,11599723.22,100.0,JCF,3,28,2024
P108,13017852.9,100.0,JCF,5,28,2024
P108,10600431.379999999,100.0,JCF,8,28,2024
P108,2832064.63,100.0,JCF,10,28,2024
P108,981559.92,100.0,JCF,1,29,2020
P108,1583114.35,100.0,JCF,4,29,2020
P108,2259992.5300000003,90.83,JCF,5,29,2020
P101,228196.65,9.17,Benito Juarez basica,5,29,2020
P108,510922.32,53.33,JCF,7,29,2020
P104,447057.03,46.67,Adultos mayores,7,29,2020
P108,1681376.62,100.0,JCF,8,29,2020
P108,662085.24,100.0,JCF,9,29,2020
P108,1832882.92,100.0,JCF,1,29,2022
P108,662319.24,100.0,JCF,3,29,2022
P108,2345901.0,100.0,JCF,5,29,2022
P108,2366861.14,55.87,JCF,6,29,2022
P104,1590489.5999999999,37.54,Adultos mayores,6,29,2022
P043,279390.58,6.59,PROCAMPO/ProAgro,6,29,2022
P108,3279831.6999999997,77.5,JCF,7,29,2022
P104,951968.83,22.5,Adultos mayores,7,29,2022
P108,4203692.69,100.0,JCF,4,29,2024
P108,2091031.7,89.86,JCF,6,29,2024
P101,236054.1,10.14,Benito Juarez basica,6,29,2024
P108,4688877.869999999,100.0,JCF,8,29,2024
P108,4703033.34,89.37,JCF,9,29,2024
P104,440217.00000000006,8.37,Adultos mayores,9,29,2024
P101,119225.25,2.27,Benito Juarez basica,9,29,2024
P108,3941700.8400000003,100.0,JCF,1,30,2020
P108,2286588.45,100.0,JCF,2,30,2020
P108,17099338.41,95.62,JCF,3,30,2020
P101,782605.0,4.38,Benito Juarez basica,3,30,2020
P108,2525701.96,100.0,JCF,4,30,2020
P108,20827449.450000003,92.1,JCF,5,30,2020
P101,1647292.28,7.28,Benito Juarez basica,5,30,2020
P104,139671.2,0.62,Adultos mayores,5,30,2020
P108,6043300.119999999,71.86,JCF,6,30,2020
P104,1471653.04,17.5,Adultos mayores,6,30,2020
P101,895300.12,10.65,Benito Juarez basica,6,30,2020
P108,5421143.5200000005,79.06,JCF,8,30,2020
P104,1436061.84,20.94,Adultos mayores,8,30,2020
P108,19205893.759999998,100.0,JCF,3,30,2022
P108,27179604.86,100.0,JCF,5,30,2022
P108,10453689.1,66.1,JCF,6,30,2022
P101,5360864.8,33.9,Benito Juarez basica,6,30,2022
P108,12713508.399999999,100.0,JCF,2,30,2024
P108,49512115.82,100.0,JCF,3,30,2024
P108,12593994.030000001,81.63,JCF,5,30,2024
P043,1918609.8099999998,12.44,PROCAMPO/ProAgro,5,30,2024
P101,915027.9400000001,5.93,Benito Juarez basica,5,30,2024
P108,3837224.85,65.5,JCF,6,30,2024
P043,2020939.99,34.5,PROCAMPO/ProAgro,6,30,2024
P108,121499.56000000001,100.0,JCF,1,31,2020
P108,626633.92,100.0,JCF,2,31,2020
P108,534864.06,65.22,JCF,5,31,2020
P048,285260.13,34.78,Otros programas sociales,5,31,2020
P108,1892933.0999999999,67.57,JCF,6,31,2020
P104,908606.34,32.43,Adultos mayores,6,31,2020
P108,396688.06,100.0,JCF,7,31,2020
P108,5933397.71,77.71,JCF,8,31,2020
P104,1702170.0799999998,22.29,Adultos mayores,8,31,2020
P108,2782312.83,100.0,JCF,10,31,2020
P108,1972172.8,100.0,JCF,2,31,2022
P108,3360653.8499999996,97.57,JCF,6,31,2022
P101,83738.2,2.43,Benito Juarez basica,6,31,2022
P108,3188347.32,91.3,JCF,8,31,2022
P102,303650.74,8.7,BJ media superior,8,31,2022
P108,4105171.3400000003,48.75,JCF,9,31,2022
P104,3873905.6900000004,46.0,Adultos mayores,9,31,2022
P101,442093.43,5.25,Benito Juarez basica,9,31,2022
P105,313874.79,100.0,Discapacidad,5,31,2024
P108,5353618.38,100.0,JCF,6,31,2024
P108,2574107.83,82.45,JCF,7,31,2024
P102,547825.6,17.55,BJ media superior,7,31,2024
P108,288589.87,100.0,JCF,4,32,2020
P108,359999.68,100.0,JCF,5,32,2020
P108,3805373.7600000002,89.46,JCF,6,32,2020
P101,448433.62000000005,10.54,Benito Juarez basica,6,32,2020
P108,2451128.7199999997,100.0,JCF,8,32,2020
P108,2025584.38,77.07,JCF,9,32,2020
