cve_ent,cve_mun,edad,sexo,poblacion
05,05001,20,MASCULINO,1
05,05001,21,FEMENINO,4
05,05001,22,FEMENINO,3
05,05001,22,MASCULINO,2
05,05001,23,FEMENINO,2
05,05001,24,FEMENINO,4
05,05001,24,MASCULINO,2
05,05001,25,FEMENINO,3
05,05001,26,FEMENINO,2
05,05001,26,MASCULINO,1
05,05001,27,FEMENINO,2
05,05001,27,MASCULINO,1
05,05001,28,FEMENINO,3
05,05001,29,FEMENINO,4
05,05001,29,MASCULINO,1
05,05002,18,FEMENINO,766
05,05002,18,MASCULINO,432
05,05002,19,FEMENINO,467
05,05002,19,MASCULINO,121
05,05002,20,FEMENINO,623
05,05002,20,MASCULINO,185
05,05002,21,FEMENINO,583
05,05002,21,MASCULINO,141
05,05002,22,FEMENINO,670
05,05002,22,MASCULINO,301
05,05002,23,FEMENINO,750
05,05002,23,MASCULINO,158
05,05002,24,FEMENINO,567
05,05002,24,MASCULINO,160
05,05002,25,FEMENINO,879
05,05002,25,MASCULINO,161
05,05002,26,FEMENINO,631
05,05002,26,MASCULINO,138
05,05002,27,FEMENINO,502
05,05002,27,MASCULINO,257
05,05002,28,FEMENINO,698
05,05002,28,MASCULINO,115
05,05002,29,FEMENINO,310
05,05002,29,MASCULINO,118
05,05003,18,FEMENINO,119
05,05003,18,MASCULINO,67
05,05003,19,FEMENINO,56
05,05003,19,MASCULINO,59
05,05003,20,FEMENINO,87
05,05003,20,MASCULINO,31
05,05003,21,FEMENINO,89
05,05003,21,MASCULINO,45
05,05003,22,FEMENINO,126
05,05003,22,MASCULINO,28
05,05003,23,FEMENINO,73
05,05003,23,MASCULINO,52
05,05003,24,FEMENINO,124
05,05003,24,MASCULINO,28
05,05003,25,FEMENINO,101
05,05003,25,MASCULINO,16
05,05003,26,FEMENINO,103
05,05003,26,MASCULINO,10
05,05003,27,FEMENINO,122
05,05003,27,MASCULINO,19
05,05003,28,FEMENINO,95
05,05003,28,MASCULINO,18
05,05003,29,FEMENINO,127
05,05003,29,MASCULINO,17
05,05004,18,FEMENINO,103
05,05004,18,MASCULINO,43
05,05004,19,FEMENINO,146
