año,cve_mun,cve_ent,candidatos_estimados,beneficiarios,tasa
2025,05032,05,2617,259,0.09896828429499427
2019,05033,05,6638,630,0.0949081048508587
2020,05033,05,6696,835,0.12470131421744325
2021,05033,05,6733,792,0.11762958562305065
2022,05033,05,6758,570,0.08434448061556674
2023,05033,05,6774,685,0.1011219368172424
2024,05033,05,6787,447,0.06586120524532194
2025,05033,05,6801,846,0.12439347154830172
2019,05034,05,535,47,0.08785046728971962
2020,05034,05,540,46,0.08518518518518518
2021,05034,05,543,19,0.034990791896869246
2022,05034,05,545,18,0.03302752293577982
2023,05034,05,546,23,0.04212454212454213
2024,05034,05,547,32,0.05850091407678245
2025,05034,05,548,40,0.072992700729927
2019,05035,05,37650,2462,0.06539176626826029
2020,05035,05,37976,2185,0.05753633874025701
2021,05035,05,38187,1427,0.03736873805221672
2022,05035,05,38326,1157,0.030188383864739342
2023,05035,05,38421,1261,0.032820592904921786
2024,05035,05,38493,778,0.02021146701997766
2025,05035,05,38569,1201,0.031138997640592185
2019,05036,05,1574,27,0.017153748411689963
2020,05036,05,1588,35,0.02204030226700252
2021,05036,05,1597,26,0.01628052598622417
2022,05036,05,1603,35,0.021834061135371178
2023,05036,05,1607,36,0.0224019912881145
2024,05036,05,1610,16,0.009937888198757764
2025,05036,05,1613,74,0.04587724736515809
2019,05037,05,403,15,0.03722084367245657
2020,05037,05,406,17,0.04187192118226601
2021,05037,05,408,23,0.056372549019607844
2022,05037,05,410,23,0.05609756097560976
2023,05037,05,411,43,0.10462287104622871
2024,05037,05,412,40,0.0970873786407767
2025,05037,05,412,66,0.16019417475728157
2019,05038,05,872,7,0.008027522935779817
2020,05038,05,880,4,0.004545454545454545
2021,05038,05,885,3,0.003389830508474576
2022,05038,05,888,4,0.0045045045045045045
2023,05038,05,890,19,0.021348314606741574
2024,05038,05,892,21,0.023542600896860985
2025,05038,05,894,40,0.0447427293064877
2019,06001,06,1328,187,0.1408132530120482
2020,06001,06,1320,229,0.1734848484848485
2021,06001,06,1315,198,0.1505703422053232
2022,06001,06,1310,250,0.19083969465648856
2023,06001,06,1305,364,0.2789272030651341
2024,06001,06,1301,256,0.196771714066103
2025,06001,06,1299,432,0.3325635103926097
2019,06002,06,5440,2169,0.3987132352941177
2020,06002,06,5406,1946,0.3599704032556419
2021,06002,06,5387,1381,0.25635789864488584
2022,06002,06,5365,1636,0.3049394221808015
2023,06002,06,5345,2071,0.38746492048643594
2024,06002,06,5329,1620,0.3039969975605179
2025,06002,06,5320,2184,0.4105263157894737
2019,06003,06,1001,534,0.5334665334665335
2020,06003,06,995,496,0.4984924623115578
2021,06003,06,992,343,0.34576612903225806
2022,06003,06,987,534,0.541033434650456
2023,06003,06,984,849,0.8628048780487805
2024,06003,06,981,644,0.6564729867482161
2025,06003,06,979,680,0.6945863125638406
2019,06004,06,1016,636,0.6259842519685039
2020,06004,06,1010,649,0.6425742574257426
2021,06004,06,1006,425,0.4224652087475149
2022,06004,06,1002,395,0.39421157684630737
2023,06004,06,999,521,0.5215215215215215
2024,06004,06,996,375,0.37650602409638556
2025,06004,06,994,478,0.48088531187122735
2019,06005,06,1392,797,0.5725574712643678
2020,06005,06,1383,736,0.532176428054953
2021,06005,06,1378,495,0.35921625544267055
2022,06005,06,1373,385,0.28040786598689005
2023,06005,06,1367,478,0.3496708119970739
2024,06005,06,1363,376,0.27586206896551724
2025,06005,06,1361,557,0.40925789860396766
2019,06006,06,288,579,2.0104166666666665
2020,06006,06,286,548,1.916083916083916
2021,06006,06,285,210,0.7368421052631579
2022,06006,06,284,175,0.6161971830985915
2023,06006,06,283,167,0.5901060070671378
2024,06006,06,282,122,0.4326241134751773
2025,06006,06,281,167,0.594306049822064
2019,06007,06,10037,945,0.09415163893593703
2020,06007,06,9974,855,0.08572287948666533
2021,06007,06,9939,622,0.0625817486668679
2022,06007,06,9899,902,0.09112031518335185
2023,06007,06,9862,999,0.10129791117420402
2024,06007,06,9833,605,0.06152750940709854
2025,06007,06,9815,927,0.0944472745797249
2019,06008,06,586,298,0.5085324232081911
2020,06008,06,582,233,0.40034364261168387
2021,06008,06,580,105,0.1810344827586207
2022,06008,06,578,76,0.1314878892733564
2023,06008,06,575,55,0.09565217391304348
2024,06008,06,574,40,0.06968641114982578
2025,06008,06,573,130,0.2268760907504363
2019,06009,06,6240,979,0.15689102564102564
2020,06009,06,6201,888,0.1432027092404451
2021,06009,06,6179,414,0.06700113286939634
2022,06009,06,6154,452,0.0734481637959051
2023,06009,06,6131,830,0.13537758930027727
2024,06009,06,6113,724,0.11843611974480615
2025,06009,06,6102,1220,0.19993444772205834
2019,06010,06,5702,1917,0.3361978253244476
2020,06010,06,5666,1820,0.3212142605012354
2021,06010,06,5646,1282,0.22706340772228126
2022,06010,06,5623,1522,0.270674017428419
2023,06010,06,5602,2082,0.37165298107818634
2024,06010,06,5586,1649,0.29520229144289295
2025,06010,06,5576,1966,0.35258249641319944
2019,07001,07,1485,512,0.3447811447811448
2020,07001,07,1491,430,0.2883970489604292
2021,07001,07,1500,302,0.20133333333333334
2022,07001,07,1508,236,0.15649867374005305
2023,07001,07,1517,160,0.1054713249835201
2024,07001,07,1528,92,0.060209424083769635
2025,07001,07,1540,77,0.05
2019,07002,07,1814,809,0.4459757442116869
2020,07002,07,1821,772,0.42394288852278966
2021,07002,07,1832,470,0.25655021834061137
2022,07002,07,1842,331,0.17969598262757872
2023,07002,07,1853,35,0.018888289260658393
2024,07002,07,1866,25,0.01339764201500536
2025,07002,07,1881,48,0.025518341307814992
2019,07003,07,2179,483,0.22166131252868287
2020,07003,07,2188,482,0.2202925045703839
2021,07003,07,2201,374,0.16992276238073603
2022,07003,07,2213,247,0.11161319475824673
