macrotema,monto_exp,pct,decil,cve_ent,año
Programas sociales y becas,9000093.870000001,89.8,3,15,2024
Negocio propio,1021986.2,10.2,3,15,2024
Negocio propio,39722098.39,46.67,8,15,2024
Programas sociales y becas,28941908.07,34.01,8,15,2024
Trabajo,16446347.12,19.32,8,15,2024
Negocio propio,19213728.1,40.9,9,15,2024
Programas sociales y becas,18512602.2,39.4,9,15,2024
Trabajo,9256296.95,19.7,9,15,2024
Programas sociales y becas,1694257.5,64.63,2,16,2020
Trabajo,847125.5,32.32,2,16,2020
Percepciones financieras y de capital,79917.5,3.05,2,16,2020
Trabajo,21580632.18,59.24,6,16,2020
Programas sociales y becas,12840130.26,35.25,6,16,2020
Negocio propio,1928457.2699999998,5.29,6,16,2020
Transferencias,78136.92,0.21,6,16,2020
Transferencias,30250268.099999998,35.21,9,16,2020
Programas sociales y becas,26251002.33,30.55,9,16,2020
Trabajo,25066733.25,29.18,9,16,2020
Negocio propio,4349343.96,5.06,9,16,2020
Trabajo,18369286.4,76.84,4,16,2022
Programas sociales y becas,4524448.8,18.93,4,16,2022
Percepciones financieras y de capital,904886.7999999999,3.78,4,16,2022
Transferencias,108580.2,0.45,4,16,2022
Negocio propio,16906596.220000003,43.87,6,16,2022
Percepciones financieras y de capital,11289126.17,29.29,6,16,2022
Trabajo,6025564.84,15.63,6,16,2022
Programas sociales y becas,2963391.2199999997,7.69,6,16,2022
Transferencias,1354692.1400000001,3.52,6,16,2022
Trabajo,71137754.17,64.26,7,16,2022
Programas sociales y becas,16745205.2,15.13,7,16,2022
Transferencias,9735964.89,8.79,7,16,2022
Negocio propio,8066552.249999999,7.29,7,16,2022
Percepciones financieras y de capital,5017573.0200000005,4.53,7,16,2022
Negocio propio,16552926.0,71.58,4,16,2024
Programas sociales y becas,6571410.3,28.42,4,16,2024
Programas sociales y becas,19251135.700000003,83.34,5,16,2024
Transferencias,3437700.64,14.88,5,16,2024
Negocio propio,411147.13999999996,1.78,5,16,2024
Programas sociales y becas,808848.75,52.7,1,17,2020
Trabajo,725955.0,47.3,1,17,2020
Trabajo,1607672.6500000001,100.0,3,17,2020
Trabajo,4963630.32,74.33,4,17,2020
Programas sociales y becas,1713832.56,25.67,4,17,2020
Trabajo,10854286.9,72.35,5,17,2020
Programas sociales y becas,3491702.6,23.28,5,17,2020
Negocio propio,332803.5,2.22,5,17,2020
Transferencias,322825.25,2.15,5,17,2020
Trabajo,5489213.800000001,70.98,8,17,2020
Programas sociales y becas,2244030.5999999996,29.02,8,17,2020
Trabajo,21413133.14,76.13,9,17,2020
Percepciones financieras y de capital,3629344.6,12.9,9,17,2020
Transferencias,2431656.43,8.65,9,17,2020
Programas sociales y becas,653279.0599999999,2.32,9,17,2020
Programas sociales y becas,8013807.5200000005,51.87,3,17,2022
Transferencias,3588195.6,23.23,3,17,2022
Trabajo,2352363.9299999997,15.23,3,17,2022
Percepciones financieras y de capital,822294.16,5.32,3,17,2022
Negocio propio,657272.7,4.25,3,17,2022
Otros ingresos,15049.08,0.1,3,17,2022
Programas sociales y becas,5729168.5600000005,53.51,5,17,2022
Trabajo,4539145.08,42.4,5,17,2022
Transferencias,437505.27999999997,4.09,5,17,2022
Trabajo,11129667.120000001,89.64,6,17,2022
Programas sociales y becas,1285822.96,10.36,6,17,2022
Trabajo,22490506.86,100.0,8,17,2022
Percepciones financieras y de capital,6651097.63,37.97,4,17,2024
Trabajo,3831030.75,21.87,4,17,2024
Transferencias,3724614.35,21.26,4,17,2024
Programas sociales y becas,3312242.73,18.91,4,17,2024
Trabajo,10746192.860000001,59.09,5,17,2024
Programas sociales y becas,7439670.680000001,40.91,5,17,2024
Trabajo,12653334.98,44.97,6,17,2024
Programas sociales y becas,11906908.4,42.32,6,17,2024
Transferencias,3576233.95,12.71,6,17,2024
Trabajo,93231769.04,74.61,9,17,2024
Programas sociales y becas,30776466.439999998,24.63,9,17,2024
Percepciones financieras y de capital,949890.46,0.76,9,17,2024
Percepciones financieras y de capital,2109736.1,48.79,2,18,2020
Trabajo,1050490.1400000001,24.29,2,18,2020
Programas sociales y becas,1006718.1599999999,23.28,2,18,2020
Transferencias,157572.72,3.64,2,18,2020
Trabajo,3649401.0,74.31,4,18,2020
Negocio propio,1111987.8,22.64,4,18,2020
Percepciones financieras y de capital,132064.2,2.69,4,18,2020
Transferencias,17607.6,0.36,4,18,2020
Transferencias,6484039.4,44.28,6,18,2020
Trabajo,2667515.08,18.22,6,18,2020
Percepciones financieras y de capital,2432966.2399999998,16.61,6,18,2020
Programas sociales y becas,2347324.16,16.03,6,18,2020
Negocio propio,711399.2000000001,4.86,6,18,2020
Trabajo,7032005.8,77.82,7,18,2020
Percepciones financieras y de capital,1430215.1,15.83,7,18,2020
Programas sociales y becas,573748.3,6.35,7,18,2020
Trabajo,18120174.21,58.45,8,18,2020
Transferencias,8049011.02,25.96,8,18,2020
Programas sociales y becas,2421885.18,7.81,8,18,2020
Percepciones financieras y de capital,2412066.8699999996,7.78,8,18,2020
